id;start_date;end_date;language
1;2020-05-29T08:05:04;2020-05-29T05:55:19;SPANISH
2;2020-05-28T12:55:15;2020-05-29T07:59:40;SPANISH
3;2020-05-29T03:50:34;2020-05-28T14:24:43;FRENCH
4;2020-05-28T19:08:05;2020-05-29T06:39:31;FRENCH
5;2020-05-29T04:38:23;2020-05-29T09:25:22;FRENCH
6;2020-05-28T22:30:44;2020-05-29T10:38:58;FRENCH
7;2020-05-29T00:16:04;2020-05-28T18:06:55;FRENCH
8;2020-05-28T23:12:17;2020-05-29T09:28:25;SPANISH
9;2020-05-28T21:53:26;2020-05-28T18:34:49;SPANISH
10;2020-05-29T06:05:30;2020-05-28T16:40:00;SPANISH
